State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
1,75,AL,Lamar County,"2,300","1,751","2,849",17,12.9,21.1,715,509,921,24.7,17.6,31.8,498,340,656,23,15.7,30.3,"44,265","39,295","49,235",.,.,.,.,.,.
1,77,AL,Lauderdale County,"14,838","12,398","17,278",16.2,13.5,18.9,"4,187","3,299","5,075",22.8,18,27.6,"2,925","2,260","3,590",21.4,16.5,26.3,"52,222","46,982","57,462",.,.,.,.,.,.
1,79,AL,Lawrence County,"4,566","3,383","5,749",13.9,10.3,17.5,"1,638","1,163","2,113",23,16.3,29.7,"1,179",808,"1,550",21.8,14.9,28.7,"55,555","51,509","59,601",.,.,.,.,.,.
1,81,AL,Lee County,"30,989","27,246","34,732",18,15.8,20.2,"6,767","5,453","8,081",18.4,14.8,22,"4,617","3,486","5,748",16.9,12.8,21,"54,188","49,989","58,387",.,.,.,.,.,.
1,83,AL,Limestone County,"10,363","8,335","12,391",9.9,8,11.8,"2,743","1,926","3,560",11.8,8.3,15.3,"2,017","1,393","2,641",11.3,7.8,14.8,"69,207","62,603","75,811",.,.,.,.,.,.
1,85,AL,Lowndes County,"2,786","2,207","3,365",28.3,22.4,34.2,946,708,"1,184",43,32.2,53.8,690,506,874,43.2,31.7,54.7,"36,993","32,332","41,654",.,.,.,.,.,.
1,87,AL,Macon County,"4,725","3,675","5,775",27.5,21.4,33.6,"1,368",988,"1,748",42.9,31,54.8,988,688,"1,288",42.3,29.4,55.2,"35,354","31,455","39,253",.,.,.,.,.,.
1,89,AL,Madison County,"39,316","33,460","45,172",10.2,8.7,11.7,"11,760","9,202","14,318",13.9,10.9,16.9,"7,940","5,848","10,032",12.7,9.4,16,"78,386","75,384","81,388",.,.,.,.,.,.
1,91,AL,Marengo County,"4,602","3,718","5,486",24.6,19.9,29.3,"1,445","1,084","1,806",34.2,25.6,42.8,"1,067",788,"1,346",33.8,24.9,42.7,"42,048","36,836","47,260",.,.,.,.,.,.
1,93,AL,Marion County,"5,209","4,170","6,248",18.3,14.7,21.9,"1,480","1,070","1,890",24.5,17.7,31.3,"1,046",733,"1,359",23.4,16.4,30.4,"44,636","39,507","49,765",.,.,.,.,.,.
1,95,AL,Marshall County,"15,145","12,505","17,785",15.6,12.9,18.3,"5,497","4,122","6,872",22.3,16.7,27.9,"3,951","2,927","4,975",22.2,16.4,28,"50,858","46,706","55,010",.,.,.,.,.,.
1,97,AL,Mobile County,"74,061","65,882","82,240",18.2,16.2,20.2,"23,628","19,853","27,403",24.8,20.8,28.8,"15,864","12,670","19,058",23,18.4,27.6,"49,848","47,564","52,132",.,.,.,.,.,.
1,99,AL,Monroe County,"4,349","3,458","5,240",22.3,17.7,26.9,"1,352",995,"1,709",33.2,24.4,42,"1,010",732,"1,288",32.9,23.8,42,"40,997","36,842","45,152",.,.,.,.,.,.
1,101,AL,Montgomery County,"47,309","41,969","52,649",21.7,19.3,24.1,"17,790","15,394","20,186",33.5,29,38,"12,032","10,161","13,903",31.6,26.7,36.5,"50,645","47,680","53,610",.,.,.,.,.,.
1,103,AL,Morgan County,"16,459","13,612","19,306",13.5,11.2,15.8,"4,774","3,454","6,094",17,12.3,21.7,"3,165","2,145","4,185",15.1,10.2,20,"56,340","51,984","60,696",.,.,.,.,.,.
1,105,AL,Perry County,"2,591","1,982","3,200",33.7,25.8,41.6,849,618,"1,080",50.3,36.6,64,603,419,787,48.6,33.8,63.4,"31,522","27,798","35,246",.,.,.,.,.,.
1,107,AL,Pickens County,"3,591","2,751","4,431",21.1,16.2,26,"1,064",767,"1,361",30.1,21.7,38.5,760,519,"1,001",29.1,19.9,38.3,"43,926","39,183","48,669",.,.,.,.,.,.
1,109,AL,Pike County,"7,429","6,243","8,615",23.9,20.1,27.7,"1,877","1,395","2,359",30,22.3,37.7,"1,310",942,"1,678",29,20.9,37.1,"38,945","35,664","42,226",.,.,.,.,.,.
1,111,AL,Randolph County,"4,652","3,872","5,432",21.5,17.9,25.1,"1,377","1,023","1,731",30.1,22.4,37.8,976,695,"1,257",28.6,20.4,36.8,"45,889","40,334","51,444",.,.,.,.,.,.
1,113,AL,Russell County,"12,620","10,520","14,720",21.7,18.1,25.3,"4,351","3,344","5,358",31,23.8,38.2,"3,268","2,524","4,012",32.3,25,39.6,"44,849","40,538","49,160",.,.,.,.,.,.
1,115,AL,St. Clair County,"11,652","9,443","13,861",12.8,10.4,15.2,"3,455","2,618","4,292",16.8,12.7,20.9,"2,453","1,794","3,112",15.9,11.6,20.2,"63,015","57,335","68,695",.,.,.,.,.,.
1,117,AL,Shelby County,"17,306","14,397","20,215",7.7,6.4,9,"4,659","3,443","5,875",9.1,6.7,11.5,"3,372","2,414","4,330",8.5,6.1,10.9,"85,457","80,812","90,102",.,.,.,.,.,.
1,119,AL,Sumter County,"4,005","3,224","4,786",35.1,28.3,41.9,"1,122",858,"1,386",48.1,36.8,59.4,797,588,"1,006",47.3,34.9,59.7,"29,490","25,781","33,199",.,.,.,.,.,.
